well_name,alias,alias_type,source,notes
45-28,IW-1,uic_permit,"NDEP Temporary UIC Permit UNEV2007204T2025-1 REVISED (June 2025)","Already seeded directly in 05_well_network_schema.R; kept here too as the human-maintained record of provenance, per register_well_network.R's idempotent INSERT OR IGNORE on (well_id, alias)."
35-28,IW-4,uic_permit,"NDEP Temporary UIC Permit UNEV2007204T2025-1 REVISED (June 2025)","Already seeded directly in 05_well_network_schema.R; see note above."
46-28,IW-5,uic_permit,"NDEP Temporary UIC Permit UNEV2007204T2025-1 REVISED (June 2025)","Already seeded directly in 05_well_network_schema.R; see note above."
