"sample_id","location_name","site_type","db_file","log_aNa_aK","T_NaK_gigg_activity","T_NaK_four_activity","ionic_strength","measured_temp_c","T_quartz_C","T_chalcedony_C"
816,"SBF_0001","fumarole","llnl.dat",1.3675,172.720088211708,153.792641641817,0.0316981,152.6,118.226987447699,91.7134225291325
820,"SBS_0002","seep","llnl.dat",1.2592,188.76678851522,170.654244766975,0.0257262,162.1,123.321373654536,96.2384513858337
822,"SBS_0003","spring","llnl.dat",1.2663,187.679493087558,169.508131160659,0.0298769,103.3,102.963028169014,79.4238239102287
825,"SBS_0001","spring","llnl.dat",1.2906,183.996615799513,165.629925007211,0.0293163,118,126.904176904177,99.010989010989
818,"SBBV","transect","llnl.dat",1.2079,196.777989451976,179.115041435951,0.00921893,74.7,61.4647658489965,43.5865811544154
819,"SBRR","transect","llnl.dat",0.8766,256.051248762659,242.615383963384,0.0030074,59.4,51.7734472049689,35.9937888198758
815,"SBW_0002","well","llnl.dat",1.3281,178.427271693577,159.776612358152,0.0335514,149,NA,NA
821,"SBW_0001","well","llnl.dat",1.319,179.766259367872,161.182619557459,0.0205525,159.6,98.8687321646963,75.2719756309835
