"well_id","well_name","ndwr_site_id","well_role","latitude","longitude","mid_screen_depth","total_depth","basin_name"
80,"PW-2",NA,"production",39.3936912205606,-119.754644809819,NA,530,NA
81,"PW-3",NA,"production",39.3937386861778,-119.753021215072,NA,574,NA
82,"PW 2-1",NA,"production",39.39392,-119.7507,NA,NA,NA
83,"PW 2-3",NA,"production",39.39506,-119.7494,NA,NA,NA
84,"PW 2-5",NA,"production",39.39595,-119.7484,NA,NA,NA
85,"PW 3-1",NA,"production",39.39081,-119.7473,NA,NA,NA
86,"PW 3-2",NA,"production",39.39181,-119.7469,NA,NA,NA
87,"PW 3-3",NA,"production",39.39103,-119.7458,NA,NA,NA
88,"PW 3-4",NA,"production",39.39255,-119.7462,NA,NA,NA
89,"14A-33",NA,"production",39.3849895,-119.7450731,NA,850,NA
90,"14-33",NA,"production",39.3825945224469,-119.749611216914,NA,1240,NA
91,"34-32",NA,"production",39.38046,-119.75974,NA,1558,NA
92,"44-32",NA,"production",39.3826722,-119.7630336,NA,1116,NA
93,"44A-32",NA,"production",39.382543,-119.7616471,NA,1150,NA
94,"13-5R",NA,"production",39.3708963475173,-119.770310905677,NA,2930,NA
95,"21-5R",NA,"production",39.3742081728802,-119.768561526409,NA,2806,NA
96,"21B-5R",NA,"production",39.3744078346584,-119.768499775116,NA,3001,NA
97,"23-5",NA,"production",39.3700873,-119.7668318,NA,3001,NA
98,"83B-6R",NA,"production",39.3714850635972,-119.772446610485,NA,2996,NA
99,"83C-6ST1",NA,"production",39.3719562180283,-119.760974521138,NA,3000,NA
100,"24-5",NA,"production",39.3730878,-119.7645127,NA,2582,NA
101,"41-5",NA,"production",39.37526,-119.7648,NA,2130,NA
102,"IW-6",NA,"injection",39.39359,-119.7466,NA,NA,NA
103,"IW-2",NA,"injection",39.3966663259424,-119.752648713035,NA,4700,NA
105,"23-33RD",NA,"injection",39.3844215614594,-119.747779101739,NA,1950,NA
106,"43-33",NA,"injection",39.3839177,-119.7442997,NA,2300,NA
107,"42A-32",NA,"injection",39.38726,-119.764,NA,1030,NA
108,"21-32",NA,"injection",39.3899274,-119.7685792,NA,3900,NA
109,"64A-32",NA,"injection",39.3802347,-119.759455,NA,1994,NA
110,"MTH 12-33",NA,"monitor",39.3861874,-119.7515632,NA,NA,NA
111,"OW-2",NA,"monitor",39.39357,-119.7494,NA,NA,NA
114,"Obs Well 1",NA,"monitor",39.3944115765318,-119.752757417352,NA,626,NA
115,"Obs Well 2",NA,"monitor",39.393683585554,-119.753065489639,NA,570,NA
116,"Obs Well 3",NA,"monitor",39.3971085861038,-119.753374379111,NA,966,NA
117,"Obs 4",NA,"monitor",39.3973702778929,-119.755637218318,NA,1640,NA
118,"28-32",NA,"production",39.3765479026498,-119.767911128872,NA,3031,NA
119,"ST13-5",NA,"monitor",39.369747952318,-119.770869026067,NA,2470,NA
120,"87-29-2",NA,"production",39.3914082977488,-119.753660996316,NA,729,NA
123,"16-28",NA,"production",39.3939362305563,-119.75076494033,NA,990,NA
