"well_id","well_name","permit","existing_lat","existing_lon","existing_coordinate_source","existing_coordinate_uncertainty_m","ndom_lat","ndom_lon","distance_m"
99,"24-5","0178",39.3730878,-119.7645127,"nbmg_geothermal_wells",50,39.3687340361373,-119.767672019382,555.1
108,"64A-32","0560",39.3802347,-119.759455,"nbmg_geothermal_wells",50,39.3822773059982,-119.759199025622,228.2
90,"34-32","0578",39.38046,-119.75974,"nbmg_geothermal_wells",100,39.3832301343289,-119.765354349134,572.5
89,"14A-33","0669",39.3849895,-119.7450731,"nbmg_geothermal_wells",50,39.382655056546,-119.749718071454,476.2
100,"41-5","1261",39.37526,-119.7648,"nbmg_geothermal_wells",50,39.3739789938087,-119.763805146777,166.1
107,"21-32","1358",39.3899274,-119.7685792,"nbmg_geothermal_wells",50,39.3882146267067,-119.767513234198,211.3
