"document_id","log_number","well_name_parsed","latitude","longitude","match_method","plss_latlon_method","work_type","proposed_use","nearest_well_name","nearest_well_dist_m","nearest_location_name","nearest_location_dist_m","flags"
62,"80672",,39.5252464463984,-119.704565005313,"parsed_text","plss_section_centroid",,"monitor","Greg Street Well",4503.2,"Greg Street Well",4503.2,"no lat/lon, UTM found -- derived from PLSS Section/Township/Range section centroid via BLM PLSS CadNSDI (~800 m resolution); verify against a tighter source before trusting for anything precision-sensitive | well_name not confidently extracted -- check manually"
10,"146403","NVGD-MW1",40.337796,-719.422608,,,,,"Sparks Avenue Well",9272835.1,"Sparks Avenue Well",9272835.1,"longitude -719.422608 is outside a Nevada sanity range -- likely OCR error (e.g. a misread leading digit), verify against the source PDF"
